,input1,input2,mean_diff,sem,t_df19,p,sidak_sig
0,full-hcp_scratch,full-hcp_pretrained,-0.14349289871251053,0.007669266225763211,-18.710120954007014,1.0662374507034598e-13,True
1,full-hcp_scratch,motor-hcp_scratch,-0.11894300504180351,0.009136461390161025,-13.018498077372954,6.467616258551565e-11,True
2,full-hcp_scratch,motor-hcp_pretrained,-0.15467724681675019,0.00954546257312274,-16.204269372159768,1.4044390928012916e-12,True
3,full-hcp_pretrained,motor-hcp_scratch,0.02454989367070697,0.0046762210262000095,5.249942963165858,4.56301870034781e-05,True
4,full-hcp_pretrained,motor-hcp_pretrained,-0.011184348104239683,0.005751544143442976,-1.9445818071291952,0.06678008542056987,False
5,motor-hcp_scratch,motor-hcp_pretrained,-0.03573424177494665,0.004958002440395568,-7.207386887065678,7.61324644608358e-07,True
