accuracy,algorithm,prct_occluded
0.41578947368421054,svm,1.0
0.37894736842105264,svm,1.2000000000000002
0.3526315789473684,svm,1.4000000000000001
0.3263157894736842,svm,1.6
0.3026315789473684,svm,1.8
0.28157894736842104,svm,2.0
0.25526315789473686,svm,2.5
0.24736842105263157,svm,3.0
0.23157894736842105,svm,3.5
0.22105263157894736,svm,4.0
0.22105263157894736,svm,4.5
0.21578947368421053,svm,5.0
0.2131578947368421,svm,6.0
0.21052631578947367,svm,7.0
0.20526315789473684,svm,8.0
0.21052631578947367,svm,9.0
0.21052631578947367,svm,10.0
0.2131578947368421,svm,12.0
0.21052631578947367,svm,14.0
0.22105263157894736,svm,16.0
0.22631578947368422,svm,18.0
0.22894736842105262,svm,20.0
0.22894736842105262,svm,22.0
0.22631578947368422,svm,24.0
0.22631578947368422,svm,26.0
0.23157894736842105,svm,28.0
0.23157894736842105,svm,30.0
0.9052631578947369,svm,0.0
0.7921052631578948,svm,0.2
0.6710526315789473,svm,0.4
0.5368421052631579,svm,0.6000000000000001
0.4473684210526316,svm,0.8
0.41842105263157897,svm,1.0
0.3815789473684211,svm,1.2000000000000002
0.34210526315789475,svm,1.4000000000000001
0.3263157894736842,svm,1.6
0.29736842105263156,svm,1.8
0.2710526315789474,svm,2.0
0.24736842105263157,svm,2.5
0.2394736842105263,svm,3.0
0.23157894736842105,svm,3.5
0.21578947368421053,svm,4.0
0.21052631578947367,svm,4.5
0.20789473684210527,svm,5.0
0.20526315789473684,svm,6.0
0.20789473684210527,svm,7.0
0.20526315789473684,svm,8.0
0.2026315789473684,svm,9.0
0.2,svm,10.0
0.21052631578947367,svm,12.0
0.20789473684210527,svm,14.0
0.21578947368421053,svm,16.0
0.22105263157894736,svm,18.0
0.22105263157894736,svm,20.0
0.22631578947368422,svm,22.0
0.22631578947368422,svm,24.0
0.22894736842105262,svm,26.0
0.23157894736842105,svm,28.0
0.23157894736842105,svm,30.0
0.8973684210526316,svm,0.0
0.8052631578947368,svm,0.2
0.6657894736842105,svm,0.4
0.55,svm,0.6000000000000001
0.46578947368421053,svm,0.8
0.41842105263157897,svm,1.0
0.3684210526315789,svm,1.2000000000000002
0.3394736842105263,svm,1.4000000000000001
0.32105263157894737,svm,1.6
0.3,svm,1.8
0.28157894736842104,svm,2.0
0.24210526315789474,svm,2.5
0.24210526315789474,svm,3.0
0.23684210526315788,svm,3.5
0.22631578947368422,svm,4.0
0.2236842105263158,svm,4.5
0.21842105263157896,svm,5.0
0.20789473684210527,svm,6.0
0.20526315789473684,svm,7.0
0.2,svm,8.0
0.20789473684210527,svm,9.0
0.21052631578947367,svm,10.0
0.20789473684210527,svm,12.0
0.20789473684210527,svm,14.0
0.21052631578947367,svm,16.0
0.21578947368421053,svm,18.0
0.22631578947368422,svm,20.0
0.22631578947368422,svm,22.0
0.22894736842105262,svm,24.0
0.22894736842105262,svm,26.0
0.23421052631578948,svm,28.0
0.23421052631578948,svm,30.0
0.8973684210526316,svm,0.0
0.8,svm,0.2
0.6815789473684211,svm,0.4
0.5631578947368421,svm,0.6000000000000001
0.48157894736842105,svm,0.8
0.43157894736842106,svm,1.0
0.37894736842105264,svm,1.2000000000000002
0.3473684210526316,svm,1.4000000000000001
0.31842105263157894,svm,1.6
0.30526315789473685,svm,1.8
0.28421052631578947,svm,2.0
0.25,svm,2.5
0.2394736842105263,svm,3.0
0.22631578947368422,svm,3.5
0.21842105263157896,svm,4.0
0.2131578947368421,svm,4.5
0.20526315789473684,svm,5.0
0.21052631578947367,svm,6.0
0.20526315789473684,svm,7.0
0.20789473684210527,svm,8.0
0.20789473684210527,svm,9.0
0.2131578947368421,svm,10.0
0.21052631578947367,svm,12.0
0.20789473684210527,svm,14.0
0.21578947368421053,svm,16.0
0.22105263157894736,svm,18.0
0.22105263157894736,svm,20.0
0.22894736842105262,svm,22.0
0.23157894736842105,svm,24.0
0.23157894736842105,svm,26.0
0.23421052631578948,svm,28.0
0.23421052631578948,svm,30.0
0.9,svm,0.0
0.7973684210526316,svm,0.2
0.6763157894736842,svm,0.4
0.5684210526315789,svm,0.6000000000000001
0.46842105263157896,svm,0.8
0.42105263157894735,svm,1.0
0.37894736842105264,svm,1.2000000000000002
0.35,svm,1.4000000000000001
0.31842105263157894,svm,1.6
0.3078947368421053,svm,1.8
0.27631578947368424,svm,2.0
0.24473684210526317,svm,2.5
0.2394736842105263,svm,3.0
0.23157894736842105,svm,3.5
0.21578947368421053,svm,4.0
0.21578947368421053,svm,4.5
0.2131578947368421,svm,5.0
0.21052631578947367,svm,6.0
0.21052631578947367,svm,7.0
0.21052631578947367,svm,8.0
0.21578947368421053,svm,9.0
0.22105263157894736,svm,10.0
0.21578947368421053,svm,12.0
0.22105263157894736,svm,14.0
0.22631578947368422,svm,16.0
0.22894736842105262,svm,18.0
0.23157894736842105,svm,20.0
0.22894736842105262,svm,22.0
0.22631578947368422,svm,24.0
0.23157894736842105,svm,26.0
0.23157894736842105,svm,28.0
0.23421052631578948,svm,30.0
0.8868421052631579,svm,0.0
0.8026315789473685,svm,0.2
0.6763157894736842,svm,0.4
0.5631578947368421,svm,0.6000000000000001
0.46842105263157896,svm,0.8
0.42894736842105263,svm,1.0
0.3868421052631579,svm,1.2000000000000002
0.34210526315789475,svm,1.4000000000000001
0.31842105263157894,svm,1.6
0.3,svm,1.8
0.27631578947368424,svm,2.0
0.24736842105263157,svm,2.5
0.24210526315789474,svm,3.0
0.22894736842105262,svm,3.5
0.22105263157894736,svm,4.0
0.22105263157894736,svm,4.5
0.21052631578947367,svm,5.0
0.20526315789473684,svm,6.0
0.20789473684210527,svm,7.0
0.21052631578947367,svm,8.0
0.2131578947368421,svm,9.0
0.2131578947368421,svm,10.0
0.2131578947368421,svm,12.0
0.2131578947368421,svm,14.0
0.21578947368421053,svm,16.0
0.2236842105263158,svm,18.0
0.22894736842105262,svm,20.0
0.22894736842105262,svm,22.0
0.22894736842105262,svm,24.0
0.22631578947368422,svm,26.0
0.22631578947368422,svm,28.0
0.22631578947368422,svm,30.0
